Wavenumber;Intensity
2094,7639;-0,003409
2096,6275;-0,004624
2098,4912;-0,002883
2100,3549;-0,001150
2102,2185;-0,003019
2104,0822;-0,002831
2105,9459;0,000971
2107,8095;0,000268
2109,6732;-0,000993
2111,5369;0,000845
2113,4006;0,000306
2115,2642;-0,000358
2117,1279;0,000637
2118,9916;-0,000712
2120,8552;-0,000465
2122,7189;0,001908
2124,5826;0,000679
2126,4462;-0,000546
2128,3099;0,001089
2130,1736;0,000373
2132,0372;-0,002048
2133,9009;-0,003679
2135,7646;-0,004353
2137,6282;-0,003522
2139,4919;-0,002875
2141,3556;-0,000922
2143,2193;0,001403
2145,0829;-0,000493
2146,9466;-0,004618
2148,8103;-0,005406
2150,6739;-0,005297
2152,5376;-0,007325
2154,4013;-0,008275
2156,2649;-0,009328
2158,1286;-0,006733
2159,9923;-0,003531
2161,8559;-0,009186
2163,7196;-0,005485
2165,5833;0,003351
2167,4470;0,000806
2169,3106;-0,002810
2171,1743;-0,003235
2173,0380;-0,003692
2174,9016;-0,000599
2176,7653;0,002808
2178,6290;0,000846
2180,4926;-0,004053
2182,3563;-0,007929
2184,2200;-0,006178
2186,0836;-0,002694
2187,9473;-0,005396
2189,8110;-0,009301
2191,6746;-0,005251
2193,5383;-0,000044
2195,4020;-0,003036
2197,2657;-0,005749
2199,1293;-0,004965
2200,9930;-0,006797
2202,8567;-0,009067
2204,7203;-0,008580
2206,5840;-0,009617
2208,4477;-0,012189
2210,3113;-0,009231
2212,1750;-0,005281
2214,0387;-0,008104
2215,9023;-0,008989
2217,7660;-0,003559
2219,6297;-0,003147
2221,4934;-0,004710
2223,3570;-0,003295
2225,2207;-0,004097
2227,0844;-0,006353
2228,9480;-0,005702
2230,8117;-0,002186
2232,6754;-0,003777
2234,5390;-0,008894
2236,4027;-0,007246
2238,2664;-0,004564
2240,1300;-0,006005
2241,9937;-0,005405
2243,8574;-0,002479
2245,7210;-0,002002
2247,5847;-0,003861
2249,4484;-0,004978
2251,3121;-0,004715
2253,1757;-0,003462
2255,0394;-0,003395
2256,9031;-0,005278
2258,7667;-0,005605
2260,6304;-0,005582
2262,4941;-0,006998
2264,3577;-0,006625
2266,2214;-0,004100
2268,0851;-0,004659
2269,9487;-0,007344
2271,8124;-0,006694
2273,6761;-0,004239
2275,5397;-0,003605
2277,4034;-0,005544
2279,2671;-0,005754
2281,1308;-0,003167
2282,9944;-0,002022
2284,8581;-0,003157
2286,7218;-0,002621
2288,5854;0,000091
2290,4491;0,000146
2292,3128;-0,002195
2294,1764;-0,002279
2296,0401;-0,001150
2297,9038;-0,001234
2299,7674;-0,001287
2301,6311;-0,001266
2303,4948;-0,001851
2305,3585;-0,002126
2307,2221;-0,001945
2309,0858;-0,000877
2310,9495;-0,000648
2312,8131;-0,001946
2314,6768;-0,002178
2316,5405;-0,001254
2318,4041;-0,000523
2320,2678;-0,000807
2322,1315;-0,001233
2323,9951;-0,001196
2325,8588;-0,001079
2327,7225;-0,001079
2329,5861;-0,001226
2331,4498;-0,001617
2333,3135;-0,002038
2335,1772;-0,001719
2337,0408;-0,001552
2338,9045;-0,001958
2340,7682;-0,001713
2342,6318;-0,000589
2344,4955;-0,000126
2346,3592;0,000011
2348,2228;0,000121
2350,0865;-0,000319
2351,9502;0,000116
2353,8138;0,000745
2355,6775;0,000399
2357,5412;0,000393
2359,4049;0,000911
2361,2685;0,001248
2363,1322;0,000773
2364,9959;0,000152
2366,8595;0,000812
2368,7232;0,001360
2370,5869;0,000890
2372,4505;0,000608
2374,3142;0,000938
2376,1779;0,000671
2378,0415;0,000351
2379,9052;0,001200
2381,7689;0,001637
2383,6325;0,001256
2385,4962;0,001678
2387,3599;0,001612
2389,2236;0,000704
2391,0872;0,000494
2392,9509;0,001050
2394,8146;0,001460
2396,6782;0,001399
2398,5419;0,001323
2400,4056;0,001345
2402,2692;0,000944
2404,1329;0,001653
2405,9966;0,003298
2407,8602;0,002940
2409,7239;0,000836
2411,5876;0,000425
2413,4512;0,001179
2415,3149;0,001216
2417,1786;0,000943
2419,0423;0,001146
2420,9059;0,001357
2422,7696;0,000304
2424,6333;-0,000142
2426,4969;0,001154
2428,3606;0,000340
2430,2243;-0,001365
2432,0879;0,000073
2433,9516;0,001775
2435,8153;0,000399
2437,6789;-0,000403
2439,5426;0,001502
2441,4063;0,002087
2443,2700;0,001409
2445,1336;0,000425
2446,9973;-0,000499
2448,8610;0,000657
2450,7246;0,001255
2452,5883;0,000742
2454,4520;0,000235
2456,3156;-0,000238
2458,1793;0,000527
2460,0430;0,000844
2461,9066;0,000160
2463,7703;0,000682
2465,6340;0,001173
2467,4976;0,000707
2469,3613;0,002510
2471,2250;0,003338
2473,0887;0,000977
2474,9523;0,000578
2476,8160;0,002054
2478,6797;0,002137
2480,5433;0,002020
2482,4070;0,002138
2484,2707;0,001588
2486,1343;0,002001
2487,9980;0,002588
2489,8617;0,001901
2491,7253;0,001967
2493,5890;0,001712
2495,4527;0,001723
2497,3164;0,002527
2499,1800;0,002541
2501,0437;0,002862
2502,9074;0,003317
2504,7710;0,002853
2506,6347;0,002632
2508,4984;0,002982
2510,3620;0,002861
2512,2257;0,002270
2514,0894;0,002065
2515,9530;0,001524
2517,8167;0,001654
2519,6804;0,003147
2521,5440;0,003280
2523,4077;0,002731
2525,2714;0,002697
2527,1351;0,003392
2528,9987;0,004131
2530,8624;0,003837
2532,7261;0,002877
2534,5897;0,002421
2536,4534;0,002875
2538,3171;0,003613
2540,1807;0,002939
2542,0444;0,001563
2543,9081;0,002233
2545,7717;0,002954
2547,6354;0,001893
2549,4991;0,002395
2551,3627;0,003182
2553,2264;0,001885
2555,0901;0,001813
2556,9538;0,003098
2558,8174;0,002613
2560,6811;0,001779
2562,5448;0,003814
2564,4084;0,005967
2566,2721;0,005394
2568,1358;0,003812
2569,9994;0,002711
2571,8631;0,002752
2573,7268;0,003711
2575,5904;0,004028
2577,4541;0,003644
2579,3178;0,002991
2581,1815;0,003396
2583,0451;0,004481
2584,9088;0,003265
2586,7725;0,002297
2588,6361;0,003938
2590,4998;0,004740
2592,3635;0,004093
2594,2271;0,004217
2596,0908;0,004594
2597,9545;0,004240
2599,8181;0,003742
2601,6818;0,004200
2603,5455;0,005496
2605,4091;0,004892
2607,2728;0,003991
2609,1365;0,004978
2611,0002;0,005070
2612,8638;0,004124
2614,7275;0,003770
2616,5912;0,003992
2618,4548;0,003823
2620,3185;0,003670
2622,1822;0,003887
2624,0458;0,004371
2625,9095;0,005206
2627,7732;0,005181
2629,6368;0,004907
2631,5005;0,005152
2633,3642;0,005502
2635,2279;0,005521
2637,0915;0,005434
2638,9552;0,005481
2640,8189;0,005496
2642,6825;0,005539
2644,5462;0,006325
2646,4099;0,007618
2648,2735;0,008066
2650,1372;0,007791
2652,0009;0,008336
2653,8645;0,009347
2655,7282;0,009210
2657,5919;0,008439
2659,4555;0,008483
2661,3192;0,008866
2663,1829;0,008546
2665,0466;0,007419
2666,9102;0,007052
2668,7739;0,007298
2670,6376;0,006779
2672,5012;0,006626
2674,3649;0,006859
2676,2286;0,006382
2678,0922;0,006059
2679,9559;0,006027
2681,8196;0,005908
2683,6832;0,005957
2685,5469;0,006032
2687,4106;0,006590
2689,2742;0,007090
2691,1379;0,007049
2693,0016;0,007528
2694,8653;0,007929
2696,7289;0,007816
2698,5926;0,008237
2700,4563;0,008252
2702,3199;0,007859
2704,1836;0,007958
2706,0473;0,008365
2707,9109;0,008707
2709,7746;0,008822
2711,6383;0,008651
2713,5019;0,008577
2715,3656;0,008794
2717,2293;0,008978
2719,0930;0,009050
2720,9566;0,009508
2722,8203;0,009636
2724,6840;0,008868
2726,5476;0,008548
2728,4113;0,008604
2730,2750;0,008423
2732,1386;0,008710
2734,0023;0,008703
2735,8660;0,007877
2737,7296;0,007723
2739,5933;0,008217
2741,4570;0,008408
2743,3206;0,008366
2745,1843;0,008195
2747,0480;0,008332
2748,9117;0,008436
2750,7753;0,008826
2752,6390;0,008702
2754,5027;0,008157
2756,3663;0,008484
2758,2300;0,009017
2760,0937;0,008950
2761,9573;0,008643
2763,8210;0,008883
2765,6847;0,009198
2767,5483;0,009161
2769,4120;0,009626
2771,2757;0,009929
2773,1394;0,009494
2775,0030;0,009556
2776,8667;0,010274
2778,7304;0,010837
2780,5940;0,010574
2782,4577;0,010036
2784,3214;0,010265
2786,1850;0,010813
2788,0487;0,011091
2789,9124;0,011039
2791,7760;0,011021
2793,6397;0,011550
2795,5034;0,012079
2797,3670;0,013015
2799,2307;0,013459
2801,0944;0,012947
2802,9581;0,012998
2804,8217;0,013856
2806,6854;0,014401
2808,5491;0,014420
2810,4127;0,014712
2812,2764;0,015273
2814,1401;0,015526
2816,0037;0,015855
2817,8674;0,016120
2819,7311;0,016279
2821,5947;0,016397
2823,4584;0,016814
2825,3221;0,016824
2827,1857;0,016920
2829,0494;0,018092
2830,9131;0,018821
2832,7768;0,019009
2834,6404;0,020348
2836,5041;0,021855
2838,3678;0,022476
2840,2314;0,023226
2842,0951;0,023954
2843,9588;0,024747
2845,8224;0,025905
2847,6861;0,027144
2849,5498;0,028803
2851,4134;0,030631
2853,2771;0,031536
2855,1408;0,033122
2857,0045;0,035602
2858,8681;0,037556
2860,7318;0,039545
